,KGISWardID,KGISWardNa,date,mean,year,month,day
158,4930,Sunkadakatte,2019-01-09,0.2010613796965748,2019,1,9
159,4931,Dodda Bidarakallu,2019-01-09,0.2765311106295189,2019,1,9
160,4934,Vidyamanyanagar,2019-01-09,0.2565249924710625,2019,1,9
161,4935,Herohalli,2019-01-09,0.2789701068382375,2019,1,9
162,4938,Doddagollarahatti,2019-01-09,0.3261903276090017,2019,1,9
163,4939,Ullal,2019-01-09,0.3341479582808504,2019,1,9
164,4942,Kengeri,2019-01-09,0.3172110897140074,2019,1,9
165,4943,Bande Mutt,2019-01-09,0.3308835263389272,2019,1,9
166,4946,Hemmigepura,2019-01-09,0.3787694266785463,2019,1,9
167,4947,Chatrapati Shivaji,2019-01-09,0.2527220305892544,2019,1,9
168,4950,Chanakya,2019-01-09,0.2355788842395371,2019,1,9
169,4951,J P Park,2019-01-09,0.2983567386074199,2019,1,9
170,4954,Kanneshwara Rama,2019-01-09,0.3388331366791657,2019,1,9
171,4955,Veeramadakari,2019-01-09,0.3294382835077317,2019,1,9
172,4958,Peenya,2019-01-09,0.2638106380642319,2019,1,9
173,4959,Lakshmi Devi Nagar,2019-01-09,0.2104769847249464,2019,1,9
174,4962,Ranadheera Kanteerava,2019-01-09,0.1947445851920942,2019,1,9
175,4963,Veera Sindhura Lakshamana,2019-01-09,0.2282897408300949,2019,1,9
176,4966,Vijayanagara Krishnadevaraya,2019-01-09,0.2592880720476817,2019,1,9
177,4967,Sir M. Vishweshwaraiah,2019-01-09,0.2720775299400024,2019,1,9
178,4970,Nalvadi Krishnaraja Wadior Park,2019-01-09,0.3003100855472102,2019,1,9
179,4971,Jnana Bharathi,2019-01-09,0.334345675806145,2019,1,9
180,4974,Rajarajeshwari Nagar,2019-01-09,0.3244632926333115,2019,1,9
181,4975,Marappana Palya,2019-01-09,0.2537054724126469,2019,1,9
182,4978,Nagapura,2019-01-09,0.2527469563939307,2019,1,9
183,4979,Mahalakshimpuram,2019-01-09,0.2514380437324036,2019,1,9
184,4982,Nandini Layout,2019-01-09,0.2574343043298925,2019,1,9
185,4983,Jai Maruthinagara,2019-01-09,0.2082312730413095,2019,1,9
186,4986,Puneet Rajkumar,2019-01-09,0.2118338560923044,2019,1,9
187,4987,Shankar Matt,2019-01-09,0.230958697716925,2019,1,9
188,4990,Shakthi Ganapathi Nagar,2019-01-09,0.23365219935109,2019,1,9
189,4991,Vrisabhavathi Nagar,2019-01-09,0.2153025823345143,2019,1,9
190,4994,Mattikere,2019-01-09,0.2371641437063799,2019,1,9
191,4995,Aramane Nagara,2019-01-09,0.3929182329366281,2019,1,9
192,4998,Malleswaram,2019-01-09,0.3022322084384642,2019,1,9
193,4999,Subramanya Nagar,2019-01-09,0.2598715412106598,2019,1,9
194,5002,Gayithri Nagar,2019-01-09,0.2486876646695708,2019,1,9
195,5003,Kadu Malleshwara,2019-01-09,0.27466123368426,2019,1,9
196,5006,Rajamahal Guttahalli,2019-01-09,0.2500277344710966,2019,1,9
197,5007,Radhakrishna Temple Ward,2019-01-09,0.2974949653445439,2019,1,9
198,5010,Sanjaya Nagar,2019-01-09,0.3119017831953064,2019,1,9
199,5011,Vishwanath Nagenahalli,2019-01-09,0.2511935069506077,2019,1,9
200,5014,Manorayanapalya,2019-01-09,0.2144849996490107,2019,1,9
201,5015,Hebbala,2019-01-09,0.3230741313401915,2019,1,9
202,5018,Chamundi Nagara,2019-01-09,0.2845972626622669,2019,1,9
203,5019,Ganga Nagar,2019-01-09,0.4066653857372943,2019,1,9
204,5022,Jayachamarajendra  Nagar,2019-01-09,0.360823574857669,2019,1,9
205,5023,Kaval Bairasandra,2019-01-09,0.2607585562293704,2019,1,9
206,5026,Kushal Nagar,2019-01-09,0.2101064100515917,2019,1,9
207,5027,Muneshwara Nagar,2019-01-09,0.205721902369404,2019,1,9
